Gen.,gen,ot
Genesis,gen,ot
Ex.,ex,ot
Exodus,ex,ot
Lev.,lev,ot
Leviticus,lev,ot
Num.,num,ot
Numbers,num,ot
Deut.,deut,ot
Deuteronomy,deut,ot
Josh.,josh,ot
Joshua,josh,ot
Judg.,judg,ot
Judges,judg,ot
Ruth,ruth,ot
1 Sam.,1-sam,ot
1 Samuel,1-sam,ot
2 Sam.,2-sam,ot
2 Samuel,2-sam,ot
1 Kgs.,1-kgs,ot
1 Kings,1-kgs,ot
2 Kgs.,2-kgs,ot
2 Kings,2-kgs,ot
1 Chr.,1-chr,ot
1 Chronicles,1-chr,ot
2 Chr.,2-chr,ot
2 Chronicles,2-chr,ot
Ezra,ezra,ot
Neh.,neh,ot
Nehemiah,neh,ot
Esth.,esth,ot
Esther,esth,ot
Job,job,ot
Ps.,ps,ot
Psalms,ps,ot
Prov.,prov,ot
Proverbs,prov,ot
Eccl.,eccl,ot
Ecclesiastes,eccl,ot
Song,song,ot
Song of Solomon,song,ot
Isa.,isa,ot
Isaiah,isa,ot
Jer.,jer,ot
Jeremiah,jer,ot
Lam.,lam,ot
Lamentations,lam,ot
Ezek.,ezek,ot
Ezekiel,ezek,ot
Dan.,dan,ot
Daniel,dan,ot
Hosea,hosea,ot
Joel,joel,ot
Amos,amos,ot
Obad.,obad,ot
Obadiah,obad,ot
Jonah,jonah,ot
Micah,micah,ot
Nahum,nahum,ot
Hab.,hab,ot
Habakkuk,hab,ot
Zeph.,zeph,ot
Zephaniah,zeph,ot
Hag.,hag,ot
Haggai,hag,ot
Zech.,zech,ot
Zechariah,zech,ot
Mal.,mal,ot
Malachi,mal,ot
Matt.,matt,nt
Matthew,matt,nt
Mark,mark,nt
Luke,luke,nt
John,john,nt
Acts,acts,nt
Rom.,rom,nt
Romans,rom,nt
1 Cor.,1-cor,nt
1 Corinthians,1-cor,nt
2 Cor.,2-cor,nt
2 Corinthians,2-cor,nt
Gal.,gal,nt
Galatians,gal,nt
Eph.,eph,nt
Ephesians,eph,nt
Philip.,philip,nt
Philippians,philip,nt
Col.,col,nt
Colossians,col,nt
1 Thes.,1-thes,nt
1 Thessalonians,1-thes,nt
2 Thes.,2-thes,nt
2 Thessalonians,2-thes,nt
1 Tim.,1-tim,nt
1 Timothy,1-tim,nt
2 Tim.,2-tim,nt
2 Timothy,2-tim,nt
Titus,titus,nt
Philem.,philem,nt
Philemon,philem,nt
Heb.,heb,nt
Hebrews,heb,nt
James,james,nt
1 Pet.,1-pet,nt
1 Peter,1-pet,nt
2 Pet.,2-pet,nt
2 Peter,2-pet,nt
1 Jn.,1-jn,nt
1 John,1-jn,nt
2 Jn.,2-jn,nt
2 John,2-jn,nt
3 Jn.,3-jn,nt
3 John,3-jn,nt
Jude,jude,nt
Rev.,rev,nt
Revelation,rev,nt
1 Ne.,1-ne,bofm
1 Nephi,1-ne,bofm
2 Ne.,2-ne,bofm
2 Nephi,2-ne,bofm
Jacob,jacob,bofm
Enos,enos,bofm
Jarom,jarom,bofm
Omni,omni,bofm
W of M,w-of-m,bofm
Words of Mormon,w-of-m,bofm
Mosiah,mosiah,bofm
Alma,alma,bofm
Hel.,hel,bofm
Helaman,hel,bofm
3 Ne.,3-ne,bofm
3 Nephi,3-ne,bofm
4 Ne.,4-ne,bofm
4 Nephi,4-ne,bofm
Morm.,morm,bofm
Mormon,morm,bofm
Ether,ether,bofm
Moro.,moro,bofm
Moroni,moro,bofm
D&C,dc,dc-testament
Doctrine and Covenants,dc,dc-testament
OD,od,dc-testament
Official Declaration,od,dc-testament
Moses,moses,pgp
Abr.,abr,pgp
Abraham,abr,pgp
JS—M,js—m,pgp
Joseph Smith—Matthew,js-m,pgp
JS—H,js—h,pgp
Joseph Smith—History,js-h,pgp
A of F,a-of-f,pgp
Articles of Faith,a-of-c,pgp